state_name,asd_desc,county_ansi,source_desc,state_alpha,county_code,state_fips_code,county_name,statisticcat_desc,CV (%),year,country_code,load_time,end_code,class_desc,domain_desc,watershed_desc,country_name,commodity_desc,domaincat_desc,freq_desc,congr_district_code,region_desc,location_desc,reference_period_desc,week_ending,agg_level_desc,unit_desc,sector_desc,watershed_code,asd_code,group_desc,Value,state_ansi,util_practice_desc,prodn_practice_desc,short_desc,zip_5,begin_code
MICHIGAN,SOUTH CENTRAL,015,SURVEY,MI,015,26,BARRY,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTH CENTRAL, BARRY",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,80,FIELD CROPS,157.4,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTH CENTRAL,023,SURVEY,MI,023,26,BRANCH,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTH CENTRAL, BRANCH",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,80,FIELD CROPS,172.2,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTH CENTRAL,025,SURVEY,MI,025,26,CALHOUN,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTH CENTRAL, CALHOUN",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,80,FIELD CROPS,144.4,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTH CENTRAL,037,SURVEY,MI,037,26,CLINTON,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTH CENTRAL, CLINTON",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,80,FIELD CROPS,171.7,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTH CENTRAL,045,SURVEY,MI,045,26,EATON,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTH CENTRAL, EATON",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,80,FIELD CROPS,163.2,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTH CENTRAL,059,SURVEY,MI,059,26,HILLSDALE,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,80,FIELD CROPS,155.9,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTH CENTRAL,065,SURVEY,MI,065,26,INGHAM,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTH CENTRAL, INGHAM",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,80,FIELD CROPS,171.9,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTH CENTRAL,067,SURVEY,MI,067,26,IONIA,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTH CENTRAL, IONIA",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,80,FIELD CROPS,183.3,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTH CENTRAL,075,SURVEY,MI,075,26,JACKSON,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTH CENTRAL, JACKSON",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,80,FIELD CROPS,141.1,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTH CENTRAL,149,SURVEY,MI,149,26,ST JOSEPH,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,80,FIELD CROPS,142.7,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
