domain_desc,short_desc,region_desc,asd_desc,year,sector_desc,congr_district_code,freq_desc,begin_code,zip_5,util_practice_desc,load_time,asd_code,Value,statisticcat_desc,state_name,county_ansi,week_ending,agg_level_desc,CV (%),country_code,county_code,country_name,watershed_desc,watershed_code,state_alpha,commodity_desc,state_ansi,location_desc,group_desc,end_code,prodn_practice_desc,reference_period_desc,source_desc,county_name,class_desc,domaincat_desc,unit_desc,state_fips_code
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,EAST CENTRAL,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,60,93.3,YIELD,MICHIGAN,151,,COUNTY,,9000,151,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, EAST CENTRAL, SANILAC",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,SANILAC,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,EAST CENTRAL,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,60,112.9,YIELD,MICHIGAN,157,,COUNTY,,9000,157,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, EAST CENTRAL, TUSCOLA",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,TUSCOLA,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SOUTHWEST,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,70,109.5,YIELD,MICHIGAN,005,,COUNTY,,9000,005,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, SOUTHWEST, ALLEGAN",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,ALLEGAN,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SOUTHWEST,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,70,115.9,YIELD,MICHIGAN,021,,COUNTY,,9000,021,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, SOUTHWEST, BERRIEN",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,BERRIEN,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SOUTHWEST,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,70,113.7,YIELD,MICHIGAN,027,,COUNTY,,9000,027,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, SOUTHWEST, CASS",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,CASS,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SOUTHWEST,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,70,115.4,YIELD,MICHIGAN,077,,COUNTY,,9000,077,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, SOUTHWEST, KALAMAZOO",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,KALAMAZOO,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SOUTHWEST,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,70,87.5,YIELD,MICHIGAN,081,,COUNTY,,9000,081,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, SOUTHWEST, KENT",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,KENT,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SOUTHWEST,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,70,90.7,YIELD,MICHIGAN,139,,COUNTY,,9000,139,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, SOUTHWEST, OTTAWA",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,OTTAWA,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SOUTHWEST,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,70,102.6,YIELD,MICHIGAN,159,,COUNTY,,9000,159,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, SOUTHWEST, VAN BUREN",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,VAN BUREN,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SOUTH CENTRAL,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,80,106.1,YIELD,MICHIGAN,015,,COUNTY,,9000,015,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, SOUTH CENTRAL, BARRY",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,BARRY,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
